image_path,label
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_000.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_001.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_002.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_003.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_004.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_005.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_008.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_009.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_011.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_012.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_013.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_015.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_016.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_017.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_018.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_021.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_022.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_023.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_024.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_025.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_026.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_027.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_028.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rot\Aloe_Rot_029.png,Aloe_Rot
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_000.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_001.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_002.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_003.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_004.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_005.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_006.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_007.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_008.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_010.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_011.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_012.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_013.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_016.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_017.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_018.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_019.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_020.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_021.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_022.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_023.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_024.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_026.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Aloe_Rust\Aloe_Rust_029.png,Aloe_Rust
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_000.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_001.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_003.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_004.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_005.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_008.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_009.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_010.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_012.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_015.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_016.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_017.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_018.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_019.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_020.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_021.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_022.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_023.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_024.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_025.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_026.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_027.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_028.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Anthracnose\Anthracnose_029.png,Anthracnose
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_000.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_001.png,Healthy
